Date,Symbol,Order,Shares
2009-11-23,ML4T-399,BUY,100
2009-12-01,ML4T-399,SELL,100
2009-11-24,ML4T-399,BUY,100
2009-12-02,ML4T-399,SELL,100
2009-11-30,ML4T-399,SELL,100
2009-12-07,ML4T-399,BUY,100
2009-12-01,ML4T-399,SELL,100
2009-12-08,ML4T-399,BUY,100
2009-12-02,ML4T-399,SELL,100
2009-12-09,ML4T-399,BUY,100
2009-12-03,ML4T-399,SELL,100
2009-12-10,ML4T-399,BUY,100
2009-12-04,ML4T-399,SELL,100
2009-12-11,ML4T-399,BUY,100
2009-12-10,ML4T-399,BUY,100
2009-12-17,ML4T-399,SELL,100
2009-12-11,ML4T-399,BUY,100
2009-12-18,ML4T-399,SELL,100
2009-12-14,ML4T-399,BUY,100
2009-12-21,ML4T-399,SELL,100
2009-12-15,ML4T-399,BUY,100
2009-12-22,ML4T-399,SELL,100
2009-12-16,ML4T-399,BUY,100
2009-12-23,ML4T-399,SELL,100
2009-12-21,ML4T-399,SELL,100
2009-12-29,ML4T-399,BUY,100
2009-12-22,ML4T-399,SELL,100
2009-12-30,ML4T-399,BUY,100
2009-12-23,ML4T-399,SELL,100
2009-12-31,ML4T-399,BUY,100
